competencia,indice_inpc,variacao_mensal
03/1979,5.5765e-09,0.0000
04/1979,5.7689e-09,3.4502
05/1979,5.8704e-09,1.7594
06/1979,6.0465e-09,2.9998
07/1979,6.3705e-09,5.3585
08/1979,6.739e-09,5.7845
09/1979,7.1843e-09,6.6078
10/1979,7.5481e-09,5.0638
11/1979,8.0089e-09,6.1048
12/1979,8.3698e-09,4.5062
01/1980,8.919e-09,6.5617
02/1980,9.289e-09,4.1484
03/1980,9.7649e-09,5.1233
04/1980,1.02385e-08,4.8500
05/1980,1.0805e-08,5.5330
06/1980,1.14018e-08,5.5234
07/1980,1.20305e-08,5.5140
08/1980,1.26497e-08,5.1469
09/1980,1.3213e-08,4.4531
10/1980,1.44874e-08,9.6450
11/1980,1.56502e-08,8.0263
12/1980,1.67147e-08,6.8018
01/1981,1.77526e-08,6.2095
02/1981,1.88272e-08,6.0532
03/1981,1.98351e-08,5.3534
04/1981,2.11322e-08,6.5394
05/1981,2.22972e-08,5.5129
06/1981,2.3428e-08,5.0715
07/1981,2.4881e-08,6.2020
08/1981,2.64048e-08,6.1244
09/1981,2.77978e-08,5.2756
10/1981,2.90825e-08,4.6216
11/1981,3.06041e-08,5.2320
12/1981,3.23447e-08,5.6875
01/1982,3.45162e-08,6.7136
02/1982,3.67858e-08,6.5755
03/1982,3.87129e-08,5.2387
04/1982,4.08994e-08,5.6480
05/1982,4.36251e-08,6.6644
06/1982,4.67411e-08,7.1427
07/1982,4.97287e-08,6.3918
08/1982,5.24972e-08,5.5672
09/1982,5.47568e-08,4.3042
10/1982,5.68955e-08,3.9058
11/1982,5.98882e-08,5.2600
12/1982,6.47902e-08,8.1853
01/1983,7.0715e-08,9.1446
02/1983,7.64006e-08,8.0402
03/1983,8.19173e-08,7.2208
04/1983,8.72955e-08,6.5654
05/1983,9.31523e-08,6.7092
06/1983,1.032437e-07,10.8332
07/1983,1.15043e-07,11.4286
08/1983,1.263712e-07,9.8469
09/1983,1.406165e-07,11.2726
10/1983,1.548139e-07,10.0965
11/1983,1.662278e-07,7.3727
12/1983,1.800977e-07,8.3439
01/1984,1.970107e-07,9.3910
02/1984,2.161933e-07,9.7368
03/1984,2.374517e-07,9.8331
04/1984,2.600678e-07,9.5245
05/1984,2.827142e-07,8.7079
06/1984,3.108773e-07,9.9617
07/1984,3.391915e-07,9.1078
08/1984,3.682615e-07,8.5704
09/1984,4.091458e-07,11.1020
10/1984,4.520706e-07,10.4913
11/1984,4.987488e-07,10.3254
12/1984,5.567124e-07,11.6218
01/1985,6.22611e-07,11.8371
02/1985,6.907768e-07,10.9484
03/1985,7.594716e-07,9.9446
04/1985,8.246648e-07,8.5840
05/1985,8.840643e-07,7.2029
06/1985,9.577468e-07,8.3345
07/1985,1.054252e-06,10.0763
08/1985,1.1766784e-06,11.6126
09/1985,1.2953765e-06,10.0876
10/1985,1.4281562e-06,10.2503
11/1985,1.6307138e-06,14.1832
12/1985,1.8875573e-06,15.7504
01/1986,2.170876e-06,15.0098
02/1986,2.4415742e-06,12.4695
03/1986,2.5190605e-06,3.1736
04/1986,2.5298925e-06,0.4300
05/1986,2.5570983e-06,1.0754
06/1986,2.5817851e-06,0.9654
07/1986,2.6052124e-06,0.9074
08/1986,2.6424945e-06,1.4311
09/1986,2.6739828e-06,1.1916
10/1986,2.7122725e-06,1.4319
11/1986,2.8014472e-06,3.2878
12/1986,3.0049873e-06,7.2655
01/1987,3.5103108e-06,16.8162
02/1987,3.9997643e-06,13.9433
03/1987,4.5756215e-06,14.3973
04/1987,5.5346279e-06,20.9590
05/1987,6.8153183e-06,23.1396
06/1987,8.2670529e-06,21.3011
07/1987,9.0880147e-06,9.9305
08/1987,9.5505142e-06,5.0891
09/1987,1.02334315e-05,7.1506
10/1987,1.13468563e-05,10.8803
11/1987,1.30409245e-05,14.9298
12/1987,1.48627091e-05,13.9698
01/1988,1.76820416e-05,18.9692
