competencia,teto_rgps,piso_salario_minimo,observacao
01/1990,10149.07,1283.95,NCz$
02/1990,15843.71,2004.37,NCz$
03/1990,27374.76,3674.06,NCz$
04/1990,27374.76,3674.06,Cr$
05/1990,27374.76,3674.06,Cr$
06/1990,28847.52,3857.66,Cr$
07/1990,36676.74,4904.76,Cr$
08/1990,38910.35,5203.46,Cr$
09/1990,45287.76,6056.31,Cr$
10/1990,48045.78,6425.14,Cr$
11/1990,62286.55,8329.55,Cr$
12/1990,66079.80,8836.82,Cr$
01/1991,92168.11,12325.60,Cr$
02/1991,118859.99,15895.46,Cr$
03/1991,127120.76,17000.00,Cr$
04/1991,127120.76,17000.00,Cr$
05/1991,127120.76,17000.00,Cr$
06/1991,127120.76,17000.00,Cr$
07/1991,127120.76,17000.00,Cr$
08/1991,170000.00,17000.00,Cr$
09/1991,420000.00,42000.00,Cr$
10/1991,420000.00,42000.00,Cr$
11/1991,420000.00,42000.00,Cr$
12/1991,420000.00,42000.00,Cr$
01/1992,923262.76,96037.33,Cr$
02/1992,923262.76,96037.33,Cr$
03/1992,923262.76,96037.33,Cr$
04/1992,923262.76,96037.33,Cr$
05/1992,2126842.49,230000.00,Cr$
06/1992,2126842.49,230000.00,Cr$
07/1992,2126842.49,230000.00,Cr$
08/1992,2126842.49,230000.00,Cr$
09/1992,4780863.30,522186.94,Cr$
10/1992,4780863.30,522186.94,Cr$
11/1992,4780863.30,522186.94,Cr$
12/1992,4780863.30,522186.94,Cr$
01/1993,11532054.23,1250700.00,Cr$
02/1993,11532054.23,1250700.00,Cr$
03/1993,15760858.52,1709400.00,Cr$
04/1993,15760858.52,1709400.00,Cr$
05/1993,30214732.09,3303300.00,Cr$
06/1993,30214732.09,3303300.00,Cr$
07/1993,42439310.55,4639800.00,Cr$
08/1993,50613.12,5534.00,CR$
09/1993,86414.97,9606.00,CR$
10/1993,108165.62,12024.00,CR$
11/1993,135120.49,15021.00,CR$
12/1993,168751.08,18760.00,CR$
01/1994,295795.39,32882.00,CR$
02/1994,385273.51,42829.00,CR$
03/1994,582.86,64.79,URV
04/1994,582.86,64.79,URV
05/1994,582.86,64.79,URV
06/1994,582.86,64.79,URV
07/1994,582.86,64.79,
08/1994,582.86,64.79,
09/1994,582.86,70.00,
10/1994,582.86,70.00,
11/1994,582.86,70.00,
12/1994,582.86,70.00,
01/1995,582.86,70.00,
02/1995,582.86,70.00,
03/1995,582.86,70.00,
04/1995,582.86,70.00,
05/1995,832.66,100.00,
06/1995,832.66,100.00,
07/1995,832.66,100.00,
08/1995,832.66,100.00,
09/1995,832.66,100.00,
10/1995,832.66,100.00,
11/1995,832.66,100.00,
12/1995,832.66,100.00,
01/1996,832.66,100.00,
02/1996,832.66,100.00,
03/1996,832.66,100.00,
04/1996,832.66,100.00,
05/1996,957.56,112.00,
06/1996,957.56,112.00,
07/1996,957.56,112.00,
08/1996,957.56,112.00,
09/1996,957.56,112.00,
10/1996,957.56,112.00,
11/1996,957.56,112.00,
12/1996,957.56,112.00,
01/1997,957.56,112.00,
02/1997,957.56,112.00,
03/1997,957.56,112.00,
04/1997,957.56,112.00,
05/1997,957.56,120.00,
06/1997,1031.87,120.00,
07/1997,1031.87,120.00,
08/1997,1031.87,120.00,
09/1997,1031.87,120.00,
10/1997,1031.87,120.00,
11/1997,1031.87,120.00,
12/1997,1031.87,120.00,
01/1998,1031.87,120.00,
02/1998,1031.87,120.00,
03/1998,1031.87,120.00,
04/1998,1031.87,120.00,
05/1998,1031.87,130.00,
06/1998,1081.50,130.00,
07/1998,1081.50,130.00,
08/1998,1081.50,130.00,
09/1998,1081.50,130.00,
10/1998,1081.50,130.00,
11/1998,1081.50,130.00,
12/1998,1200.00,130.00,
01/1999,1200.00,130.00,
02/1999,1200.00,130.00,
03/1999,1200.00,130.00,
04/1999,1200.00,130.00,
05/1999,1200.00,136.00,
06/1999,1255.32,136.00,
07/1999,1255.32,136.00,
08/1999,1255.32,136.00,
09/1999,1255.32,136.00,
10/1999,1255.32,136.00,
11/1999,1255.32,136.00,
12/1999,1255.32,136.00,
01/2000,1255.32,136.00,
02/2000,1255.32,136.00,
03/2000,1255.32,136.00,
04/2000,1255.32,151.00,
05/2000,1255.32,151.00,
06/2000,1328.25,151.00,
07/2000,1328.25,151.00,
08/2000,1328.25,151.00,
09/2000,1328.25,151.00,
10/2000,1328.25,151.00,
11/2000,1328.25,151.00,
12/2000,1328.25,151.00,
01/2001,1328.25,151.00,
02/2001,1328.25,151.00,
03/2001,1328.25,151.00,
04/2001,1328.25,180.00,
05/2001,1328.25,180.00,
06/2001,1430.00,180.00,
07/2001,1430.00,180.00,
08/2001,1430.00,180.00,
09/2001,1430.00,180.00,
10/2001,1430.00,180.00,
11/2001,1430.00,180.00,
12/2001,1430.00,180.00,
01/2002,1430.00,180.00,
02/2002,1430.00,180.00,
03/2002,1430.00,180.00,
04/2002,1430.00,200.00,
05/2002,1430.00,200.00,
06/2002,1561.56,200.00,
07/2002,1561.56,200.00,
08/2002,1561.56,200.00,
09/2002,1561.56,200.00,
10/2002,1561.56,200.00,
11/2002,1561.56,200.00,
12/2002,1561.56,200.00,
01/2003,1561.56,200.00,
02/2003,1561.56,200.00,
03/2003,1561.56,200.00,
04/2003,1561.56,240.00,
05/2003,1561.56,240.00,
06/2003,1869.34,240.00,
07/2003,1869.34,240.00,
08/2003,1869.34,240.00,
09/2003,1869.34,240.00,
10/2003,1869.34,240.00,
11/2003,1869.34,240.00,
12/2003,1869.34,240.00,
01/2004,2400.00,240.00,
02/2004,2400.00,240.00,
03/2004,2400.00,240.00,
04/2004,2400.00,240.00,
05/2004,2508.72,260.00,
06/2004,2508.72,260.00,
07/2004,2508.72,260.00,
08/2004,2508.72,260.00,
09/2004,2508.72,260.00,
10/2004,2508.72,260.00,
11/2004,2508.72,260.00,
12/2004,2508.72,260.00,
01/2005,2508.72,260.00,
02/2005,2508.72,260.00,
03/2005,2508.72,260.00,
04/2005,2508.72,260.00,
05/2005,2668.15,300.00,
06/2005,2668.15,300.00,
07/2005,2668.15,300.00,
08/2005,2668.15,300.00,
09/2005,2668.15,300.00,
10/2005,2668.15,300.00,
11/2005,2668.15,300.00,
12/2005,2668.15,300.00,
01/2006,2668.15,300.00,
02/2006,2668.15,300.00,
03/2006,2668.15,300.00,
04/2006,2801.56,350.00,
05/2006,2801.56,350.00,
06/2006,2801.56,350.00,
07/2006,2801.56,350.00,
08/2006,2801.82,350.00,
09/2006,2801.82,350.00,
10/2006,2801.82,350.00,
11/2006,2801.82,350.00,
12/2006,2801.82,350.00,
01/2007,2801.82,350.00,
02/2007,2801.82,350.00,
03/2007,2801.82,350.00,
04/2007,2894.28,380.00,
05/2007,2894.28,380.00,
06/2007,2894.28,380.00,
07/2007,2894.28,380.00,
08/2007,2894.28,380.00,
09/2007,2894.28,380.00,
10/2007,2894.28,380.00,
11/2007,2894.28,380.00,
12/2007,2894.28,380.00,
01/2008,2894.28,380.00,
02/2008,2894.28,380.00,
03/2008,3038.99,415.00,
04/2008,3038.99,415.00,
05/2008,3038.99,415.00,
06/2008,3038.99,415.00,
07/2008,3038.99,415.00,
08/2008,3038.99,415.00,
09/2008,3038.99,415.00,
10/2008,3038.99,415.00,
11/2008,3038.99,415.00,
12/2008,3038.99,415.00,
01/2009,3038.99,415.00,
02/2009,3218.90,465.00,
03/2009,3218.90,465.00,
04/2009,3218.90,465.00,
05/2009,3218.90,465.00,
06/2009,3218.90,465.00,
07/2009,3218.90,465.00,
08/2009,3218.90,465.00,
09/2009,3218.90,465.00,
10/2009,3218.90,465.00,
11/2009,3218.90,465.00,
12/2009,3218.90,465.00,
01/2010,3467.40,510.00,
02/2010,3467.40,510.00,
03/2010,3467.40,510.00,
04/2010,3467.40,510.00,
05/2010,3467.40,510.00,
06/2010,3467.40,510.00,
07/2010,3467.40,510.00,
08/2010,3467.40,510.00,
09/2010,3467.40,510.00,
10/2010,3467.40,510.00,
11/2010,3467.40,510.00,
12/2010,3467.40,510.00,
01/2011,3689.66,540.00,
02/2011,3689.66,540.00,
03/2011,3691.74,545.00,
04/2011,3691.74,545.00,
05/2011,3691.74,545.00,
06/2011,3691.74,545.00,
07/2011,3691.74,545.00,
08/2011,3691.74,545.00,
09/2011,3691.74,545.00,
10/2011,3691.74,545.00,
11/2011,3691.74,545.00,
12/2011,3691.74,545.00,
01/2012,3916.20,622.00,
02/2012,3916.20,622.00,
03/2012,3916.20,622.00,
04/2012,3916.20,622.00,
05/2012,3916.20,622.00,
06/2012,3916.20,622.00,
07/2012,3916.20,622.00,
08/2012,3916.20,622.00,
09/2012,3916.20,622.00,
10/2012,3916.20,622.00,
11/2012,3916.20,622.00,
12/2012,3916.20,622.00,
